Day: 2, Living animals: 15, plants number: 2, FreeFields: 307, most popular genotype: 6, Average energy: 29, Average life length: 0
Day: 2, Living animals: 5, plants number: 4, FreeFields: 91, most popular genotype: 4, Average energy: 17, Average life length: 0
Day: 2, Living animals: 16, plants number: 2, FreeFields: 308, most popular genotype: 0, Average energy: 28, Average life length: 0
Day: 3, Living animals: 16, plants number: 3, FreeFields: 307, most popular genotype: 5, Average energy: 27, Average life length: 0
Day: 3, Living animals: 5, plants number: 5, FreeFields: 91, most popular genotype: 4, Average energy: 16, Average life length: 0
Day: 3, Living animals: 17, plants number: 3, FreeFields: 305, most popular genotype: 0, Average energy: 27, Average life length: 0
Day: 4, Living animals: 16, plants number: 4, FreeFields: 303, most popular genotype: 5, Average energy: 26, Average life length: 0
Day: 4, Living animals: 5, plants number: 6, FreeFields: 90, most popular genotype: 4, Average energy: 15, Average life length: 0
Day: 4, Living animals: 18, plants number: 4, FreeFields: 302, most popular genotype: 0, Average energy: 25, Average life length: 0
Day: 5, Living animals: 6, plants number: 8, FreeFields: 86, most popular genotype: 5, Average energy: 14, Average life length: 0
Day: 5, Living animals: 17, plants number: 5, FreeFields: 303, most popular genotype: 5, Average energy: 24, Average life length: 0
Day: 5, Living animals: 19, plants number: 5, FreeFields: 300, most popular genotype: 0, Average energy: 23, Average life length: 0
Day: 6, Living animals: 6, plants number: 10, FreeFields: 81, most popular genotype: 5, Average energy: 13, Average life length: 0
Day: 6, Living animals: 17, plants number: 6, FreeFields: 300, most popular genotype: 5, Average energy: 23, Average life length: 0
Day: 6, Living animals: 20, plants number: 6, FreeFields: 296, most popular genotype: 0, Average energy: 22, Average life length: 0
Day: 7, Living animals: 7, plants number: 12, FreeFields: 81, most popular genotype: 5, Average energy: 11, Average life length: 0
Day: 7, Living animals: 21, plants number: 7, FreeFields: 293, most popular genotype: 0, Average energy: 21, Average life length: 0
Day: 8, Living animals: 19, plants number: 8, FreeFields: 299, most popular genotype: 5, Average energy: 20, Average life length: 0
Day: 8, Living animals: 9, plants number: 13, FreeFields: 81, most popular genotype: 5, Average energy: 9, Average life length: 0
Day: 8, Living animals: 19, plants number: 8, FreeFields: 299, most popular genotype: 5, Average energy: 20, Average life length: 0
Day: 9, Living animals: 22, plants number: 8, FreeFields: 291, most popular genotype: 0, Average energy: 18, Average life length: 0
Day: 9, Living animals: 10, plants number: 14, FreeFields: 76, most popular genotype: 5, Average energy: 7, Average life length: 0
Day: 9, Living animals: 20, plants number: 9, FreeFields: 293, most popular genotype: 5, Average energy: 18, Average life length: 0
Day: 10, Living animals: 23, plants number: 9, FreeFields: 287, most popular genotype: 0, Average energy: 17, Average life length: 0
Day: 10, Living animals: 11, plants number: 14, FreeFields: 76, most popular genotype: 5, Average energy: 6, Average life length: 0
Day: 11, Living animals: 21, plants number: 11, FreeFields: 286, most popular genotype: 5, Average energy: 15, Average life length: 0
Day: 11, Living animals: 25, plants number: 10, FreeFields: 284, most popular genotype: 0, Average energy: 15, Average life length: 0
Day: 12, Living animals: 11, plants number: 15, FreeFields: 73, most popular genotype: 5, Average energy: 4, Average life length: 7
Day: 12, Living animals: 22, plants number: 11, FreeFields: 288, most popular genotype: 5, Average energy: 14, Average life length: 0
Day: 12, Living animals: 26, plants number: 10, FreeFields: 281, most popular genotype: 0, Average energy: 14, Average life length: 0
Day: 13, Living animals: 10, plants number: 15, FreeFields: 74, most popular genotype: 5, Average energy: 4, Average life length: 7
Day: 13, Living animals: 23, plants number: 11, FreeFields: 286, most popular genotype: 5, Average energy: 12, Average life length: 0
Day: 14, Living animals: 30, plants number: 11, FreeFields: 273, most popular genotype: 0, Average energy: 11, Average life length: 0
Day: 14, Living animals: 9, plants number: 15, FreeFields: 79, most popular genotype: 4, Average energy: 3, Average life length: 9
Day: 13, Living animals: 23, plants number: 11, FreeFields: 286, most popular genotype: 5, Average energy: 12, Average life length: 0
Day: 15, Living animals: 32, plants number: 11, FreeFields: 271, most popular genotype: 0, Average energy: 10, Average life length: 0
Day: 16, Living animals: 7, plants number: 16, FreeFields: 80, most popular genotype: 4, Average energy: 2, Average life length: 11
Day: 16, Living animals: 32, plants number: 12, FreeFields: 269, most popular genotype: 0, Average energy: 9, Average life length: 16
Day: 16, Living animals: 5, plants number: 16, FreeFields: 80, most popular genotype: 4, Average energy: 3, Average life length: 11
Day: 17, Living animals: 38, plants number: 13, FreeFields: 266, most popular genotype: 0, Average energy: 7, Average life length: 16
Day: 17, Living animals: 5, plants number: 17, FreeFields: 80, most popular genotype: 4, Average energy: 3, Average life length: 11
Day: 18, Living animals: 42, plants number: 14, FreeFields: 259, most popular genotype: 0, Average energy: 6, Average life length: 15
Day: 18, Living animals: 3, plants number: 18, FreeFields: 81, most popular genotype: 4, Average energy: 3, Average life length: 11
Day: 19, Living animals: 41, plants number: 15, FreeFields: 248, most popular genotype: 0, Average energy: 5, Average life length: 14
Day: 19, Living animals: 3, plants number: 19, FreeFields: 81, most popular genotype: 4, Average energy: 3, Average life length: 11
Day: 20, Living animals: 39, plants number: 16, FreeFields: 251, most popular genotype: 0, Average energy: 4, Average life length: 12
